setid,"Temperature, K","Pressure, kPa",Mole fraction of trimethylbenzylammonium chloride,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
CIfbl,283.15,100,0.25,1.4954,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,,
CIfbl,288.15,100,0.25,1.494,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,,
CIfbl,293.15,100,0.25,1.4925,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,,
CIfbl,298.15,100,0.25,1.4911,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,,
CIfbl,303.15,100,0.25,1.4897,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,,
CIfbl,308.15,100,0.25,1.4884,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,,
CIfbl,313.15,100,0.25,1.4869,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,,
CIfbl,318.15,100,0.25,1.4855,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,,
CIfbl,323.15,100,0.25,1.4841,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,,
CIfbl,328.15,100,0.25,1.4826,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,,
CIfbl,333.15,100,0.25,1.4813,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,,
CIfbl,338.15,100,0.25,1.4798,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,,
CIfbl,343.15,100,0.25,1.4784,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAUVWV,OCCOCCO,diethylene glycol,,,,
