setid,Weight fraction of tetraethylammonium hexafluorophosphate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
GBAFp,0,293.15,101,1.3292,Li et al. (2013h),Refractive index,Liquid,ABAwPI,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,tetraethylammonium hexafluorophosphate,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,,,,
GBAFp,0.1,293.15,101,1.3398,Li et al. (2013h),Refractive index,Liquid,ABAwPI,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,tetraethylammonium hexafluorophosphate,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,,,,
GBAFp,0.2,293.15,101,1.3499,Li et al. (2013h),Refractive index,Liquid,ABAwPI,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,tetraethylammonium hexafluorophosphate,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,,,,
GBAFp,0.3,293.15,101,1.3602,Li et al. (2013h),Refractive index,Liquid,ABAwPI,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,tetraethylammonium hexafluorophosphate,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,,,,
GBAFp,0.4,293.15,101,1.3691,Li et al. (2013h),Refractive index,Liquid,ABAwPI,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,tetraethylammonium hexafluorophosphate,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,,,,
