setid,"Mole fraction of N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Pwghw,0,100,293,1.3333,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.004,100,293,1.3362,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.006,100,293,1.3371,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.007,100,293,1.3382,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.009,100,293,1.3397,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.012,100,293,1.3417,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.02,100,293,1.346,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.034,100,293,1.3526,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.038,100,293,1.3543,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.045,100,293,1.3573,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.053,100,293,1.3598,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.067,100,293,1.3642,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.1,100,293,1.3723,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.134,100,293,1.3785,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.167,100,293,1.3827,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.199,100,293,1.3862,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.248,100,293,1.3904,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.292,100,293,1.3934,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.34,100,293,1.3962,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.383,100,293,1.398,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.498,100,293,1.402,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.596,100,293,1.4047,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,0.798,100,293,1.4083,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
Pwghw,1,100,293,1.4104,Kaneko et al. (2018a),Refractive index,Liquid,AAsqqt,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",AADYJk,O,water,,,,
