setid,"Temperature, K",Volume fraction of 1-butyl-3-methylpyridinium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
nTqcd,293.15,0,101,1.36144,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
nTqcd,293.15,0.0895,101,1.3713,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
nTqcd,293.15,0.1467,101,1.3773,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
nTqcd,293.15,0.2062,101,1.38325,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
nTqcd,293.15,0.2725,101,1.38979,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
nTqcd,293.15,0.4637,101,1.4075,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
nTqcd,293.15,0.5588,101,1.41595,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
nTqcd,293.15,0.6583,101,1.4245,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
nTqcd,293.15,0.6935,101,1.42757,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
nTqcd,293.15,0.8285,101,1.43878,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
nTqcd,293.15,0.883,101,1.44311,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
nTqcd,293.15,0.928,101,1.4467,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
nTqcd,293.15,0.9641,101,1.44963,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
nTqcd,293.15,1,101,1.45248,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
nTqcd,303.15,0,101,1.35702,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
