setid,Weight fraction of tetrabutylammonium chloride,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
GTKnv,0.2704,293.15,101.3,1.452,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.2704,298.15,101.3,1.4504,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.2704,303.15,101.3,1.4482,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.2704,308.15,101.3,1.4466,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.2704,313.15,101.3,1.4449,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.2704,318.15,101.3,1.443,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.2704,323.15,101.3,1.4411,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.2704,328.15,101.3,1.4392,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.2704,333.15,101.3,1.4377,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3161,293.15,101.3,1.4541,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3161,298.15,101.3,1.4525,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3161,303.15,101.3,1.4505,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3161,308.15,101.3,1.4486,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3161,313.15,101.3,1.4467,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3161,318.15,101.3,1.4446,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3161,323.15,101.3,1.4427,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3161,328.15,101.3,1.4411,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
