setid,Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
XjKRU,0,298.15,101,1.333,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
XjKRU,0.044,298.15,101,1.36,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
XjKRU,0.1267,298.15,101,1.384,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
XjKRU,0.3134,298.15,101,1.405,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
XjKRU,0.4984,298.15,101,1.412,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
XjKRU,0.5802,298.15,101,1.415,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
XjKRU,0.7488,298.15,101,1.418,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
XjKRU,0.8089,298.15,101,1.419,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
XjKRU,0.9719,298.15,101,1.421,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
XjKRU,1,298.15,101,1.422,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
