setid,Mole fraction of water,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
uYKWj,0,298.15,101,1.52182,Gomez et al. (2006a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
uYKWj,0.1032,298.15,101,1.51718,Gomez et al. (2006a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
uYKWj,0.2001,298.15,101,1.51563,Gomez et al. (2006a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
uYKWj,0.3013,298.15,101,1.51066,Gomez et al. (2006a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
uYKWj,0.389,298.15,101,1.5089,Gomez et al. (2006a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
uYKWj,0.5125,298.15,101,1.49981,Gomez et al. (2006a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
uYKWj,0.5926,298.15,101,1.49319,Gomez et al. (2006a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
uYKWj,0.6972,298.15,101,1.48167,Gomez et al. (2006a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
uYKWj,0.8007,298.15,101,1.4635,Gomez et al. (2006a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
uYKWj,0.9088,298.15,101,1.427,Gomez et al. (2006a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
uYKWj,1,298.15,101,1.3324,Gomez et al. (2006a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
