setid,"Temperature, K","Pressure, kPa",Weight fraction of water,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
oJdMn,298.15,101,0.0023,1.44921,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,,
oJdMn,303.15,101,0.0023,1.44765,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,,
oJdMn,308.15,101,0.0023,1.44606,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,,
oJdMn,313.15,101,0.0023,1.44449,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,,
oJdMn,318.15,101,0.0023,1.44293,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,,
oJdMn,323.15,101,0.0023,1.44136,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,,
oJdMn,328.15,101,0.0023,1.4398,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,,
oJdMn,333.15,101,0.0023,1.43822,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,,
oJdMn,338.15,101,0.0023,1.43669,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,,
oJdMn,343.15,101,0.0023,1.43515,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,,
oJdMn,348.15,101,0.0023,1.43362,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,,
oJdMn,353.15,101,0.0023,1.43207,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,,
