setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
BwCRt,298.15,0,101.3,1.37527,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,298.15,0.0482,101.3,1.38886,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,298.15,0.0965,101.3,1.40004,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,298.15,0.1938,101.3,1.41819,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,298.15,0.2928,101.3,1.43226,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,298.15,0.3902,101.3,1.44304,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,298.15,0.496,101.3,1.45252,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,298.15,0.5903,101.3,1.45942,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,298.15,0.6902,101.3,1.46547,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,298.15,0.7978,101.3,1.47086,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,298.15,0.9531,101.3,1.47709,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,298.15,1,101.3,1.47824,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,303.15,0,101.3,1.37314,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,303.15,0.0482,101.3,1.38696,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,303.15,0.0965,101.3,1.39831,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,303.15,0.1938,101.3,1.41666,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
