setid,Mole fraction of water,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
zBlrU,0.144,298.15,101.3,1.44235,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.144,303.15,101.3,1.44089,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.144,308.15,101.3,1.4394,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.144,313.15,101.3,1.43785,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.144,318.15,101.3,1.43674,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.144,323.15,101.3,1.43532,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.144,328.15,101.3,1.43396,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.144,333.15,101.3,1.43253,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.144,338.15,101.3,1.43108,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.144,343.15,101.3,1.42964,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.201,298.15,101.3,1.44165,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.201,303.15,101.3,1.44016,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.201,308.15,101.3,1.43875,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.201,313.15,101.3,1.43727,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.201,318.15,101.3,1.4359,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.201,323.15,101.3,1.43441,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.201,328.15,101.3,1.43298,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
