setid,"Temperature, K",Weight fraction of 1-butyl-3-methylimidazolium chloride,Weight fraction of rubidium sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
rwImU,298.2,0,0.337,100,1.36524,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,298.2,0.0619,0.263,100,1.36826,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,298.2,0.1367,0.186,100,1.37549,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,298.2,0.2194,0.129,100,1.385,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,298.2,0.3115,0.073,100,1.39712,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,298.2,0.4039,0.038,100,1.41126,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,298.2,0.4963,0.015,100,1.427,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,298.2,0.5833,0.0077,100,1.44358,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,298.2,0.67,0.0028,100,1.46287,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,298.2,0.7554,0.0006,100,1.47881,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,298.2,0.8395,0.0004,100,1.49673,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,308.2,0,0.359,100,1.36619,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,308.2,0.06,0.289,100,1.3702,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,308.2,0.1349,0.202,100,1.37663,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,308.2,0.2197,0.133,100,1.38563,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,308.2,0.312,0.077,100,1.39705,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,308.2,0.4064,0.038,100,1.41081,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,308.2,0.4977,0.018,100,1.42623,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,308.2,0.5866,0.0084,100,1.44276,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,308.2,0.674,0.0032,100,1.46182,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,308.2,0.7591,0.0019,100,1.47775,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
rwImU,308.2,0.8441,0.0012,100,1.49552,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
