setid,"Temperature, K",Mole fraction of N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
wvgIH,288.15,0,100,1.345,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,288.15,0.1001,100,1.4055,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,288.15,0.2,100,1.4408,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,288.15,0.3,100,1.4591,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,288.15,0.4,100,1.4757,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,288.15,0.5002,100,1.4885,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,288.15,0.6002,100,1.499,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,288.15,0.7001,100,1.5061,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,288.15,0.8,100,1.5127,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,288.15,0.8999,100,1.5168,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,288.15,1,100,1.5192,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,293.15,0,100,1.3428,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,293.15,0.1001,100,1.4039,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,293.15,0.2,100,1.4395,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,293.15,0.3,100,1.458,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,293.15,0.4,100,1.475,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,293.15,0.5002,100,1.4874,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,293.15,0.6002,100,1.4972,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,293.15,0.7001,100,1.5049,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,293.15,0.8,100,1.5106,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,293.15,0.8999,100,1.5151,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,293.15,1,100,1.5181,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,298.15,0,100,1.341,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,298.15,0.1001,100,1.401,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,298.15,0.2,100,1.4342,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,298.15,0.3,100,1.4559,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,298.15,0.4,100,1.473,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,298.15,0.5002,100,1.4859,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,298.15,0.6002,100,1.4956,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,298.15,0.7001,100,1.503,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,298.15,0.8,100,1.509,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,298.15,0.8999,100,1.5141,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,298.15,1,100,1.5169,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,303.15,0,100,1.3384,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,303.15,0.1001,100,1.3995,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,303.15,0.2,100,1.4329,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,303.15,0.3,100,1.4548,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,303.15,0.4,100,1.4715,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,303.15,0.5002,100,1.4847,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,303.15,0.6002,100,1.494,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,303.15,0.7001,100,1.5018,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
wvgIH,303.15,0.8,100,1.5077,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,,
