setid,Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
LOePf,0.0473,101,298.15,1.39108,Arce et al. (2006b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
LOePf,0.0982,101,298.15,1.3978,Arce et al. (2006b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
LOePf,0.2034,101,298.15,1.40783,Arce et al. (2006b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
LOePf,0.241,101,298.15,1.41061,Arce et al. (2006b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
LOePf,0.2958,101,298.15,1.41405,Arce et al. (2006b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
LOePf,0.4007,101,298.15,1.41928,Arce et al. (2006b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
LOePf,0.4355,101,298.15,1.42071,Arce et al. (2006b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
LOePf,0.4988,101,298.15,1.42301,Arce et al. (2006b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
LOePf,0.5506,101,298.15,1.42472,Arce et al. (2006b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
LOePf,0.6165,101,298.15,1.42671,Arce et al. (2006b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
LOePf,0.6778,101,298.15,1.42832,Arce et al. (2006b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
LOePf,0.7828,101,298.15,1.43069,Arce et al. (2006b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
LOePf,0.9118,101,298.15,1.43297,Arce et al. (2006b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
