setid,"Temperature, K",Weight fraction of water,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
NjZuN,293.15,0.0006,101,1.5674,Yan et al. (2021a),Refractive index,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,,
NjZuN,293.15,0.001,101,1.5671,Yan et al. (2021a),Refractive index,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,,
NjZuN,293.15,0.0035,101,1.5649,Yan et al. (2021a),Refractive index,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,,
NjZuN,293.15,0.0075,101,1.5617,Yan et al. (2021a),Refractive index,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,,
NjZuN,293.15,0.0101,101,1.5596,Yan et al. (2021a),Refractive index,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,,
NjZuN,293.15,0.0114,101,1.5585,Yan et al. (2021a),Refractive index,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,,
NjZuN,298.15,0.0006,101,1.5662,Yan et al. (2021a),Refractive index,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,,
NjZuN,298.15,0.001,101,1.5658,Yan et al. (2021a),Refractive index,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,,
NjZuN,298.15,0.0035,101,1.5636,Yan et al. (2021a),Refractive index,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,,
NjZuN,298.15,0.0075,101,1.5603,Yan et al. (2021a),Refractive index,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,,
