setid,Mole fraction of acetone,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
wsmNk,0,101,298.15,1.4949,Caeiro et al. (2022),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
wsmNk,0.109,101,298.15,1.49033,Caeiro et al. (2022),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
wsmNk,0.2024,101,298.15,1.48559,Caeiro et al. (2022),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
wsmNk,0.3155,101,298.15,1.47864,Caeiro et al. (2022),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
wsmNk,0.3988,101,298.15,1.4723,Caeiro et al. (2022),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
wsmNk,0.49,101,298.15,1.46364,Caeiro et al. (2022),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
wsmNk,0.5915,101,298.15,1.45222,Caeiro et al. (2022),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
wsmNk,0.689,101,298.15,1.43825,Caeiro et al. (2022),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
wsmNk,0.8036,101,298.15,1.41651,Caeiro et al. (2022),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
wsmNk,0.8357,101,298.15,1.40886,Caeiro et al. (2022),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
wsmNk,1,101,298.15,1.35595,Caeiro et al. (2022),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,
