setid,Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
bwBPx,0,101,298.15,1.4242,Singh and Kumar (2008),Refractive index,Liquid,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
bwBPx,0.0088,101,298.15,1.4227,Singh and Kumar (2008),Refractive index,Liquid,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
bwBPx,0.0165,101,298.15,1.4251,Singh and Kumar (2008),Refractive index,Liquid,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
bwBPx,0.0745,101,298.15,1.4271,Singh and Kumar (2008),Refractive index,Liquid,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
bwBPx,0.1611,101,298.15,1.4288,Singh and Kumar (2008),Refractive index,Liquid,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
bwBPx,0.2555,101,298.15,1.4298,Singh and Kumar (2008),Refractive index,Liquid,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
bwBPx,0.3459,101,298.15,1.4304,Singh and Kumar (2008),Refractive index,Liquid,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
bwBPx,0.4603,101,298.15,1.4308,Singh and Kumar (2008),Refractive index,Liquid,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
bwBPx,0.6468,101,298.15,1.4312,Singh and Kumar (2008),Refractive index,Liquid,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
bwBPx,0.8198,101,298.15,1.4314,Singh and Kumar (2008),Refractive index,Liquid,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
bwBPx,0.9227,101,298.15,1.4317,Singh and Kumar (2008),Refractive index,Liquid,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
bwBPx,0.9912,101,298.15,1.4318,Singh and Kumar (2008),Refractive index,Liquid,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
bwBPx,1,101,298.15,1.4319,Singh and Kumar (2008),Refractive index,Liquid,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
