setid,Mole fraction of methyl ethanoate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
qHsPw,0,101,288.15,1.4579,Alvarez et al. (2013),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
qHsPw,0.0646,101,288.15,1.4558,Alvarez et al. (2013),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
qHsPw,0.1097,101,288.15,1.4556,Alvarez et al. (2013),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
qHsPw,0.2074,101,288.15,1.4509,Alvarez et al. (2013),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
qHsPw,0.3079,101,288.15,1.4449,Alvarez et al. (2013),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
qHsPw,0.3983,101,288.15,1.4399,Alvarez et al. (2013),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
qHsPw,0.4973,101,288.15,1.4327,Alvarez et al. (2013),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
qHsPw,0.5928,101,288.15,1.4232,Alvarez et al. (2013),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
qHsPw,0.6898,101,288.15,1.413,Alvarez et al. (2013),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
qHsPw,0.7912,101,288.15,1.3996,Alvarez et al. (2013),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
qHsPw,0.8979,101,288.15,1.3833,Alvarez et al. (2013),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
qHsPw,0.9483,101,288.15,1.3746,Alvarez et al. (2013),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
qHsPw,1,101,288.15,1.365,Alvarez et al. (2013),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
