setid,"MolaLity of 1-methyl-3-tetradecylimidazolium bromide, mol/kg","Solvent: MolaLity of tetraethylammonium bromide, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
jGUSR,0,0,298.15,101,1.3325,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0,0,308.15,101,1.33127,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0,0,318.15,101,1.32978,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0,0.001,298.15,101,1.33252,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0,0.001,308.15,101,1.33129,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0,0.001,318.15,101,1.32979,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0,0.002,298.15,101,1.33256,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0,0.002,308.15,101,1.33131,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0,0.002,318.15,101,1.32981,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0,0.005,298.15,101,1.33265,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0,0.005,308.15,101,1.3314,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0,0.005,318.15,101,1.32989,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.0002632,0,298.15,101,1.33252,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.0002632,0,308.15,101,1.33129,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.0002632,0,318.15,101,1.3298,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.0002632,0.001,298.15,101,1.33256,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.0002632,0.001,308.15,101,1.33131,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.0002632,0.001,318.15,101,1.32981,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
