setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
KBniR,303.15,0,101,1.46522,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,303.15,0.1007,101,1.44235,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,303.15,0.1989,101,1.42644,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,303.15,0.2995,101,1.41508,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,303.15,0.4026,101,1.40683,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,303.15,0.5001,101,1.40086,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,303.15,0.5999,101,1.39602,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,303.15,0.7039,101,1.39197,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,303.15,0.8003,101,1.38891,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,303.15,0.8993,101,1.38636,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
