setid,Mole fraction of propylammonium acetate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
crYdX,0,298.15,101,1.3326,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.0032,298.15,101,1.3353,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.005,298.15,101,1.3366,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.0101,298.15,101,1.341,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.0169,298.15,101,1.3468,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.0258,298.15,101,1.3535,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.035,298.15,101,1.36,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.0545,298.15,101,1.3716,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.0695,298.15,101,1.3794,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.0918,298.15,101,1.3886,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.0959,298.15,101,1.3902,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.1151,298.15,101,1.3966,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.1499,298.15,101,1.4068,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.1802,298.15,101,1.4126,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.2115,298.15,101,1.4178,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.3001,298.15,101,1.4245,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.4494,298.15,101,1.432,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.6475,298.15,101,1.4362,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,0.8424,298.15,101,1.4394,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
crYdX,1,298.15,101,1.4405,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,,
