setid,"Temperature, K","Pressure, kPa","Mole fraction of 1,2-ethanediol",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
fzysW,328.15,101.3,0.25,1.5258,Kareem et al. (2010),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABWotl,[Cl-].c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,benzyltriphenylphosphonium chloride,,,,
fzysW,338.15,101.3,0.25,1.5309,Kareem et al. (2010),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABWotl,[Cl-].c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,benzyltriphenylphosphonium chloride,,,,
