setid,"Temperature, K",Weight fraction of 1-hexyl-3-methylimidazolium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
EPUpf,298.15,0.0108,101,1.33441,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.0168,101,1.33539,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.0215,101,1.33623,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.0323,101,1.33808,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.0339,101,1.33829,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.0432,101,1.33994,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.0509,101,1.34112,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.0533,101,1.34167,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.0647,101,1.34362,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.0678,101,1.34402,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.0756,101,1.34548,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.0848,101,1.34687,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.0859,101,1.34724,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.0969,101,1.34912,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.1018,101,1.34978,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.1078,101,1.35098,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.1186,101,1.35277,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.1356,101,1.35557,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.1526,101,1.35856,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
EPUpf,298.15,0.1695,101,1.36149,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
