setid,Weight fraction of tetraethylammonium hexafluoroantimonate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
vWnQe,0,293.15,101,1.3292,Li et al. (2013h),Refractive index,Liquid,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,ABSUwp,CC[N+](CC)(CC)CC.F[Sb-](F)(F)(F)(F)F,tetraethylammonium hexafluoroantimonate,,,,
vWnQe,0.1,293.15,101,1.3349,Li et al. (2013h),Refractive index,Liquid,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,ABSUwp,CC[N+](CC)(CC)CC.F[Sb-](F)(F)(F)(F)F,tetraethylammonium hexafluoroantimonate,,,,
vWnQe,0.2,293.15,101,1.3408,Li et al. (2013h),Refractive index,Liquid,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,ABSUwp,CC[N+](CC)(CC)CC.F[Sb-](F)(F)(F)(F)F,tetraethylammonium hexafluoroantimonate,,,,
vWnQe,0.3,293.15,101,1.3498,Li et al. (2013h),Refractive index,Liquid,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,ABSUwp,CC[N+](CC)(CC)CC.F[Sb-](F)(F)(F)(F)F,tetraethylammonium hexafluoroantimonate,,,,
vWnQe,0.4,293.15,101,1.3571,Li et al. (2013h),Refractive index,Liquid,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,ABSUwp,CC[N+](CC)(CC)CC.F[Sb-](F)(F)(F)(F)F,tetraethylammonium hexafluoroantimonate,,,,
vWnQe,0.5,293.15,101,1.3641,Li et al. (2013h),Refractive index,Liquid,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,ABSUwp,CC[N+](CC)(CC)CC.F[Sb-](F)(F)(F)(F)F,tetraethylammonium hexafluoroantimonate,,,,
vWnQe,0.6,293.15,101,1.3678,Li et al. (2013h),Refractive index,Liquid,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,ABSUwp,CC[N+](CC)(CC)CC.F[Sb-](F)(F)(F)(F)F,tetraethylammonium hexafluoroantimonate,,,,
