setid,Mole fraction of propyl ethanoate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
uXDoI,0,101,288.15,1.4599,Alvarez et al. (2012),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
uXDoI,0.0454,101,288.15,1.4578,Alvarez et al. (2012),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
uXDoI,0.1089,101,288.15,1.4556,Alvarez et al. (2012),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
uXDoI,0.2022,101,288.15,1.4533,Alvarez et al. (2012),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
uXDoI,0.304,101,288.15,1.4473,Alvarez et al. (2012),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
uXDoI,0.4022,101,288.15,1.4428,Alvarez et al. (2012),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
uXDoI,0.4999,101,288.15,1.4369,Alvarez et al. (2012),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
uXDoI,0.6005,101,288.15,1.429,Alvarez et al. (2012),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
uXDoI,0.7024,101,288.15,1.4208,Alvarez et al. (2012),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
uXDoI,0.8036,101,288.15,1.411,Alvarez et al. (2012),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
uXDoI,0.8978,101,288.15,1.4003,Alvarez et al. (2012),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
uXDoI,0.9489,101,288.15,1.3938,Alvarez et al. (2012),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
uXDoI,1,101,288.15,1.3867,Alvarez et al. (2012),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
