setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
uJDcY,298.15,0,101,1.3329,Ali et al. (2007),Refractive index,Liquid,AADYJk,O,water,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
uJDcY,298.15,0.00031,101,1.3332,Ali et al. (2007),Refractive index,Liquid,AADYJk,O,water,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
uJDcY,298.15,0.00063,101,1.3335,Ali et al. (2007),Refractive index,Liquid,AADYJk,O,water,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
uJDcY,298.15,0.00095,101,1.3339,Ali et al. (2007),Refractive index,Liquid,AADYJk,O,water,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
uJDcY,298.15,0.00129,101,1.3342,Ali et al. (2007),Refractive index,Liquid,AADYJk,O,water,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
uJDcY,303.15,0,101,1.3322,Ali et al. (2007),Refractive index,Liquid,AADYJk,O,water,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
uJDcY,303.15,0.00031,101,1.3326,Ali et al. (2007),Refractive index,Liquid,AADYJk,O,water,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
uJDcY,303.15,0.00063,101,1.3329,Ali et al. (2007),Refractive index,Liquid,AADYJk,O,water,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
uJDcY,303.15,0.00095,101,1.3333,Ali et al. (2007),Refractive index,Liquid,AADYJk,O,water,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
uJDcY,303.15,0.00129,101,1.3337,Ali et al. (2007),Refractive index,Liquid,AADYJk,O,water,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
