setid,Mole fraction of methanol,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ZMfST,0,101.3,298.15,1.43024,Gonzalez et al. (2012a),Refractive index,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZMfST,0.0538,101.3,298.15,1.42948,Gonzalez et al. (2012a),Refractive index,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZMfST,0.1081,101.3,298.15,1.42869,Gonzalez et al. (2012a),Refractive index,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZMfST,0.1812,101.3,298.15,1.42749,Gonzalez et al. (2012a),Refractive index,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZMfST,0.2739,101.3,298.15,1.42575,Gonzalez et al. (2012a),Refractive index,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZMfST,0.3962,101.3,298.15,1.42303,Gonzalez et al. (2012a),Refractive index,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZMfST,0.4824,101.3,298.15,1.42026,Gonzalez et al. (2012a),Refractive index,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZMfST,0.5846,101.3,298.15,1.41597,Gonzalez et al. (2012a),Refractive index,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZMfST,0.6882,101.3,298.15,1.40963,Gonzalez et al. (2012a),Refractive index,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZMfST,0.7994,101.3,298.15,1.39797,Gonzalez et al. (2012a),Refractive index,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZMfST,0.8991,101.3,298.15,1.37814,Gonzalez et al. (2012a),Refractive index,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZMfST,0.9495,101.3,298.15,1.35929,Gonzalez et al. (2012a),Refractive index,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZMfST,0.9802,101.3,298.15,1.34219,Gonzalez et al. (2012a),Refractive index,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZMfST,1,101.3,298.15,1.32657,Gonzalez et al. (2012a),Refractive index,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
