setid,"Temperature, K","Pressure, kPa",Mole fraction of trimethylbenzylammonium chloride,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
PXIeU,283.15,100,0.25,1.4995,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
PXIeU,288.15,100,0.25,1.498,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
PXIeU,293.15,100,0.25,1.4966,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
PXIeU,298.15,100,0.25,1.4951,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
PXIeU,303.15,100,0.25,1.4935,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
PXIeU,308.15,100,0.25,1.4921,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
PXIeU,313.15,100,0.25,1.4907,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
PXIeU,318.15,100,0.25,1.4893,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
PXIeU,323.15,100,0.25,1.4878,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
PXIeU,328.15,100,0.25,1.4864,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
PXIeU,333.15,100,0.25,1.4849,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
PXIeU,338.15,100,0.25,1.4835,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
PXIeU,343.15,100,0.25,1.482,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
