setid,"Temperature, K",Mole ratio to solvent: 3-amino-1-propanol,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ifOXy,293.15,4,101.3,1.4786,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,293.15,6,101.3,1.4733,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,293.15,8,101.3,1.4717,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,298.15,4,101.3,1.477,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,298.15,6,101.3,1.4719,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,298.15,8,101.3,1.4697,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,303.15,4,101.3,1.4751,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,303.15,6,101.3,1.4703,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,303.15,8,101.3,1.4678,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,308.15,4,101.3,1.4732,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,308.15,6,101.3,1.4688,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,308.15,8,101.3,1.4662,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,313.15,4,101.3,1.4713,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,313.15,6,101.3,1.467,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,313.15,8,101.3,1.4644,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,318.15,4,101.3,1.4697,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,318.15,6,101.3,1.4653,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,318.15,8,101.3,1.4627,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,323.15,4,101.3,1.468,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,323.15,6,101.3,1.4638,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,323.15,8,101.3,1.4608,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,328.15,4,101.3,1.4665,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,328.15,6,101.3,1.4622,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,328.15,8,101.3,1.4592,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,333.15,4,101.3,1.4647,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,333.15,6,101.3,1.4602,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
ifOXy,333.15,8,101.3,1.4576,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,
