setid,"MolaLity of 1-methyl-3-propylimidazolium bromide, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
PfZjV,0,0,298.15,101.3,1.3325,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0,0.0941,298.15,101.3,1.333,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0,0.1492,298.15,101.3,1.3337,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0,0.1972,298.15,101.3,1.3344,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0,0.2611,298.15,101.3,1.3354,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0,0.2975,298.15,101.3,1.3359,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0,0.303,298.15,101.3,1.336,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0,0.3935,298.15,101.3,1.3372,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0,0.4408,298.15,101.3,1.3378,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.0963,0,298.15,101.3,1.3368,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
