setid,"Temperature, K",Weight fraction of 1-hexyl-3-methylimidazolium chloride,Weight fraction of rubidium sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ouWSd,298.2,0,0.337,100,1.36524,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,298.2,0.0632,0.256,100,1.36891,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,298.2,0.1362,0.199,100,1.37659,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,298.2,0.2186,0.143,100,1.38597,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,298.2,0.3071,0.097,100,1.39677,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,298.2,0.4023,0.054,100,1.40914,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,298.2,0.4976,0.025,100,1.42282,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,298.2,0.5895,0.0096,100,1.43729,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,298.2,0.6764,0.0057,100,1.4534,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,298.2,0.7639,0.0019,100,1.46998,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,298.2,0.8496,0.0009,100,1.48699,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,308.2,0,0.359,100,1.36619,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,308.2,0.0606,0.287,100,1.36963,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,308.2,0.1322,0.223,100,1.37746,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,308.2,0.2136,0.163,100,1.38679,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,308.2,0.304,0.106,100,1.39754,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,308.2,0.3979,0.064,100,1.41021,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,308.2,0.4952,0.029,100,1.42212,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,308.2,0.5865,0.015,100,1.4365,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,308.2,0.678,0.0035,100,1.45252,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,308.2,0.7639,0.0019,100,1.46885,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
ouWSd,308.2,0.8495,0.001,100,1.48569,Li et al. (2019e),Refractive index,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
