setid,"Temperature, K",Mole fraction of water,Mole fraction of 1-ethyl-3-methylimidazolium bromide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
nFzaX,298.2,0.2232,0.0998,100,1.4155,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
nFzaX,298.2,0.2314,0.2989,100,1.473,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
nFzaX,298.2,0.2511,0.2493,100,1.463,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
nFzaX,298.2,0.264,0.1996,100,1.45,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
nFzaX,298.2,0.3051,0.1489,100,1.435,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
nFzaX,298.2,0.3372,0.3054,100,1.4805,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
nFzaX,298.2,0.3799,0.2503,100,1.4695,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
nFzaX,298.2,0.3984,0.2018,100,1.4545,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
nFzaX,298.2,0.425,0.1511,100,1.434,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
nFzaX,298.2,0.4489,0.1004,100,1.413,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
nFzaX,298.2,0.466,0.3015,100,1.486,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
nFzaX,298.2,0.4712,0.1498,100,1.4375,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
nFzaX,298.2,0.498,0.2468,100,1.4725,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
