setid,"Temperature, K",Mole ratio to solvent: tetrabutylammonium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
FChlT,303.15,8,101,1.484,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,303.15,9,101,1.485,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,303.15,10,101,1.482,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,313.15,8,101,1.48,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,313.15,9,101,1.482,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,313.15,10,101,1.478,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,323.15,8,101,1.477,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,323.15,9,101,1.479,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,323.15,10,101,1.474,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,333.15,8,101,1.473,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,333.15,9,101,1.475,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,333.15,10,101,1.471,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,343.15,8,101,1.469,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,343.15,9,101,1.472,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,343.15,10,101,1.468,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,353.15,8,101,1.467,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,353.15,9,101,1.469,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
FChlT,353.15,10,101,1.465,Mjalli et al. (2016),Refractive index,Liquid,AAWvKW,C[C@@H](O)[C@H](N)C(=O)O,L-threonine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
