setid,Mole fraction of methanol,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
rpbHq,0,101,298.15,1.4794,Gonzalez et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
rpbHq,0.1346,101,298.15,1.47491,Gonzalez et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
rpbHq,0.2595,101,298.15,1.47006,Gonzalez et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
rpbHq,0.3267,101,298.15,1.46675,Gonzalez et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
rpbHq,0.4741,101,298.15,1.45742,Gonzalez et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
rpbHq,0.5701,101,298.15,1.44913,Gonzalez et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
rpbHq,0.6664,101,298.15,1.43808,Gonzalez et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
rpbHq,0.7757,101,298.15,1.42043,Gonzalez et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
rpbHq,0.8294,101,298.15,1.4078,Gonzalez et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
rpbHq,0.923,101,298.15,1.37377,Gonzalez et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
rpbHq,0.9626,101,298.15,1.35299,Gonzalez et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
rpbHq,0.9917,101,298.15,1.33319,Gonzalez et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
rpbHq,1,101,298.15,1.32687,Gonzalez et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
