setid,Weight fraction of 1-hexyl-3-methyl-1H-imidazolium bromide,Weight fraction of cesium nitrate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
htbKb,0,0.214,101,298.15,1.3479,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
htbKb,0.0686,0.1661,101,298.15,1.35889,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
htbKb,0.1437,0.1269,101,298.15,1.3705,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
htbKb,0.2217,0.102,101,298.15,1.3826,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
htbKb,0.3019,0.0829,101,298.15,1.3951,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
htbKb,0.3883,0.0563,101,298.15,1.40821,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
htbKb,0.475,0.0381,101,298.15,1.42174,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
htbKb,0.562,0.0244,101,298.15,1.43659,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
htbKb,0.6447,0.0208,101,298.15,1.45212,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
htbKb,0.7284,0.0165,101,298.15,1.46925,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
htbKb,0.8133,0.0118,101,298.15,1.48605,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
