setid,"Temperature, K","MolaLity of 1-propyl-3-methylimidazolium methylsulfate, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
rsHeB,298.15,0.0122,101,1.3329,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,298.15,0.0381,101,1.3334,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,298.15,0.0509,101,1.3338,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,298.15,0.0732,101,1.3345,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,298.15,0.0894,101,1.3348,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,298.15,0.1377,101,1.3359,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,298.15,0.3004,101,1.3398,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,298.15,0.4427,101,1.3429,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,298.15,0.6101,101,1.3468,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,298.15,0.7409,101,1.3496,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,298.15,0.8646,101,1.3522,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,298.15,0.9948,101,1.3549,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,298.15,1.0961,101,1.3569,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,308.15,0.0122,101,1.3319,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,308.15,0.0381,101,1.3325,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,308.15,0.0509,101,1.3328,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,308.15,0.0732,101,1.3334,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,308.15,0.0894,101,1.3337,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,308.15,0.1377,101,1.3348,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,308.15,0.3004,101,1.3386,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,308.15,0.4427,101,1.3417,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,308.15,0.6101,101,1.3452,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,308.15,0.7409,101,1.3481,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,308.15,0.8646,101,1.3506,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,308.15,0.9948,101,1.3535,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,308.15,1.0961,101,1.3557,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,318.15,0.0122,101,1.33,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,318.15,0.0381,101,1.3308,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,318.15,0.0509,101,1.3313,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,318.15,0.0732,101,1.3318,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,318.15,0.0894,101,1.3324,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,318.15,0.1377,101,1.3335,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,318.15,0.3004,101,1.3371,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,318.15,0.4427,101,1.3401,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,318.15,0.6101,101,1.3437,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,318.15,0.7409,101,1.3469,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,318.15,0.8646,101,1.3493,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,318.15,0.9948,101,1.3519,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,318.15,1.0961,101,1.3537,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,328.15,0.0122,101,1.3289,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,328.15,0.0381,101,1.3294,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,328.15,0.0509,101,1.3299,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,328.15,0.0732,101,1.3303,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,328.15,0.0894,101,1.3307,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,328.15,0.1377,101,1.3318,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,328.15,0.3004,101,1.3352,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,328.15,0.4427,101,1.3382,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,328.15,0.6101,101,1.3417,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,328.15,0.7409,101,1.3445,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,328.15,0.8646,101,1.347,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,328.15,0.9948,101,1.3498,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
rsHeB,328.15,1.0961,101,1.3519,Shekaari and Armanfar (2010),Refractive index,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,,
