setid,"Temperature, K","MolaLity of benzyltributylammonium chloride, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ravJL,293.15,0.001,100,1.3322,Majumder et al. (2023),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
ravJL,293.15,0.003,100,1.3324,Majumder et al. (2023),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
ravJL,293.15,0.005,100,1.3325,Majumder et al. (2023),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
ravJL,298.15,0.001,100,1.332,Majumder et al. (2023),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
ravJL,298.15,0.003,100,1.3322,Majumder et al. (2023),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
ravJL,298.15,0.005,100,1.3324,Majumder et al. (2023),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
ravJL,303.15,0.001,100,1.3319,Majumder et al. (2023),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
ravJL,303.15,0.003,100,1.3321,Majumder et al. (2023),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
ravJL,303.15,0.005,100,1.3323,Majumder et al. (2023),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
ravJL,308.15,0.001,100,1.3317,Majumder et al. (2023),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
ravJL,308.15,0.003,100,1.332,Majumder et al. (2023),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
ravJL,308.15,0.005,100,1.3321,Majumder et al. (2023),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
ravJL,313.15,0.001,100,1.3314,Majumder et al. (2023),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
ravJL,313.15,0.003,100,1.3318,Majumder et al. (2023),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
ravJL,313.15,0.005,100,1.3319,Majumder et al. (2023),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
