setid,Mole fraction of 1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,"Temperature, K","Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
jlsmZ,0,281.893,100,632.8,1.6228,Tao et al. (2017c),Refractive index,Liquid,AAnMwO,Ic1ccccc1,iodobenzene,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,,
jlsmZ,0,282.917,100,632.8,1.6223,Tao et al. (2017c),Refractive index,Liquid,AAnMwO,Ic1ccccc1,iodobenzene,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,,
jlsmZ,0,284.303,100,632.8,1.6215,Tao et al. (2017c),Refractive index,Liquid,AAnMwO,Ic1ccccc1,iodobenzene,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,,
jlsmZ,0,285.768,100,632.8,1.6207,Tao et al. (2017c),Refractive index,Liquid,AAnMwO,Ic1ccccc1,iodobenzene,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,,
jlsmZ,0,287.209,100,632.8,1.6199,Tao et al. (2017c),Refractive index,Liquid,AAnMwO,Ic1ccccc1,iodobenzene,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,,
jlsmZ,0,288.475,100,632.8,1.6192,Tao et al. (2017c),Refractive index,Liquid,AAnMwO,Ic1ccccc1,iodobenzene,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,,
jlsmZ,0,289.809,100,632.8,1.6185,Tao et al. (2017c),Refractive index,Liquid,AAnMwO,Ic1ccccc1,iodobenzene,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,,
jlsmZ,0,291.287,100,632.8,1.6177,Tao et al. (2017c),Refractive index,Liquid,AAnMwO,Ic1ccccc1,iodobenzene,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,,
jlsmZ,0,292.607,100,632.8,1.6169,Tao et al. (2017c),Refractive index,Liquid,AAnMwO,Ic1ccccc1,iodobenzene,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,,
jlsmZ,0,293.769,100,632.8,1.6163,Tao et al. (2017c),Refractive index,Liquid,AAnMwO,Ic1ccccc1,iodobenzene,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,,
