setid,"Temperature, K","Pressure, kPa",Mole fraction of trimethylbenzylammonium chloride,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
SWFLJ,283.15,100,0.25,1.5126,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
SWFLJ,288.15,100,0.25,1.5114,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
SWFLJ,293.15,100,0.25,1.5102,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
SWFLJ,298.15,100,0.25,1.5089,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
SWFLJ,303.15,100,0.25,1.5078,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
SWFLJ,308.15,100,0.25,1.5064,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
SWFLJ,313.15,100,0.25,1.5052,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
SWFLJ,318.15,100,0.25,1.5039,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
SWFLJ,323.15,100,0.25,1.5027,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
SWFLJ,328.15,100,0.25,1.5014,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
SWFLJ,333.15,100,0.25,1.5002,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
SWFLJ,338.15,100,0.25,1.4989,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
SWFLJ,343.15,100,0.25,1.4977,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
