setid,Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ZurDC,0.0459,298.15,101,1.3791,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
ZurDC,0.0987,298.15,101,1.3956,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
ZurDC,0.142,298.15,101,1.4067,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
ZurDC,0.1905,298.15,101,1.417,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
ZurDC,0.2357,298.15,101,1.4253,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
ZurDC,0.2733,298.15,101,1.4314,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
ZurDC,0.3516,298.15,101,1.4414,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
ZurDC,0.4381,298.15,101,1.4503,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
ZurDC,0.5335,298.15,101,1.4581,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
ZurDC,0.5712,298.15,101,1.4609,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
ZurDC,0.6742,298.15,101,1.4667,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
ZurDC,0.7665,298.15,101,1.4715,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
ZurDC,0.8482,298.15,101,1.4745,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
ZurDC,0.9248,298.15,101,1.4772,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
