setid,"MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
VkwHC,0.0233,101,298.15,1.4303,Shekaari et al. (2012b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
VkwHC,0.0435,101,298.15,1.4306,Shekaari et al. (2012b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
VkwHC,0.0658,101,298.15,1.4311,Shekaari et al. (2012b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
VkwHC,0.0824,101,298.15,1.4316,Shekaari et al. (2012b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
VkwHC,0.1049,101,298.15,1.432,Shekaari et al. (2012b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
VkwHC,0.1228,101,298.15,1.4325,Shekaari et al. (2012b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
VkwHC,0.1428,101,298.15,1.433,Shekaari et al. (2012b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
VkwHC,0.1583,101,298.15,1.4336,Shekaari et al. (2012b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
VkwHC,0.1869,101,298.15,1.4344,Shekaari et al. (2012b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
VkwHC,0.2051,101,298.15,1.4347,Shekaari et al. (2012b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
