setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Sqzob,293.15,0,100,1.58481,Narsimlu et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
Sqzob,293.15,0.1008,100,1.56571,Narsimlu et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
Sqzob,293.15,0.2035,100,1.54192,Narsimlu et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
Sqzob,293.15,0.3059,100,1.52125,Narsimlu et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
Sqzob,293.15,0.4053,100,1.50001,Narsimlu et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
Sqzob,293.15,0.5073,100,1.47963,Narsimlu et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
Sqzob,293.15,0.6013,100,1.46255,Narsimlu et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
Sqzob,293.15,0.7046,100,1.44852,Narsimlu et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
Sqzob,293.15,0.8067,100,1.43589,Narsimlu et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
Sqzob,293.15,0.9059,100,1.42458,Narsimlu et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
Sqzob,293.15,1,100,1.41509,Narsimlu et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
Sqzob,303.15,0,100,1.58152,Narsimlu et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
