setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium thiocyanate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
OVjON,288.15,0,81.5,1.3798,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,288.15,0.1089,81.5,1.41767,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,288.15,0.198,81.5,1.44452,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,288.15,0.2992,81.5,1.46553,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,288.15,0.3989,81.5,1.48465,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,288.15,0.4992,81.5,1.49819,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,288.15,0.6012,81.5,1.51002,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,288.15,0.6982,81.5,1.51777,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,288.15,0.7957,81.5,1.52611,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,288.15,0.9013,81.5,1.53514,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
