setid,Weight fraction of tetrabutylphosphonium tetrafluoroborate,"Temperature, K","Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
hrJvt,0.001,298.15,100,589.3,1.3326,Roy et al. (2013c),Refractive index,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,,,,
hrJvt,0.003,298.15,100,589.3,1.3333,Roy et al. (2013c),Refractive index,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,,,,
hrJvt,0.005,298.15,100,589.3,1.3341,Roy et al. (2013c),Refractive index,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,,,,
