setid,Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
PQujK,0,293.992,85,632.8,1.4165,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0,295.93,85,632.8,1.4156,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0,297.36,85,632.8,1.4151,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0,298.941,85,632.8,1.4145,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0,300.695,85,632.8,1.4138,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0,303.337,85,632.8,1.4128,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0,304.767,85,632.8,1.4122,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0,306.244,85,632.8,1.4117,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0.1,301.308,85,632.8,1.4166,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0.1,302.856,85,632.8,1.416,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0.1,304.451,85,632.8,1.4155,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0.1,306.115,85,632.8,1.4148,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0.1,307.827,85,632.8,1.4142,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0.1,309.182,85,632.8,1.4137,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0.2,303.162,85,632.8,1.4188,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0.2,304.31,85,632.8,1.4183,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0.2,305.507,85,632.8,1.4179,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
PQujK,0.2,306.663,85,632.8,1.4175,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
