setid,Mole fraction of methyltriphenylphosphonium bromide,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
oPQmv,0.16,298.15,101,1.5398,Shahbaz et al. (2013),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
oPQmv,0.2,298.15,101,1.553,Shahbaz et al. (2013),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
oPQmv,0.25,298.15,101,1.5678,Shahbaz et al. (2013),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
