setid,Mole fraction of propyl ethanoate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
geNoE,0,101,313.15,1.4504,Alvarez et al. (2013),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
geNoE,0.0785,101,313.15,1.4483,Alvarez et al. (2013),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
geNoE,0.1247,101,313.15,1.4457,Alvarez et al. (2013),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
geNoE,0.207,101,313.15,1.4417,Alvarez et al. (2013),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
geNoE,0.3035,101,313.15,1.4365,Alvarez et al. (2013),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
geNoE,0.4177,101,313.15,1.4288,Alvarez et al. (2013),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
geNoE,0.5088,101,313.15,1.4222,Alvarez et al. (2013),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
geNoE,0.6042,101,313.15,1.4146,Alvarez et al. (2013),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
geNoE,0.696,101,313.15,1.4068,Alvarez et al. (2013),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
geNoE,0.7939,101,313.15,1.3991,Alvarez et al. (2013),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
geNoE,0.8936,101,313.15,1.387,Alvarez et al. (2013),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
geNoE,0.9454,101,313.15,1.3809,Alvarez et al. (2013),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
geNoE,1,101,313.15,1.3741,Alvarez et al. (2013),Refractive index,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
