setid,"Temperature, K",Mole fraction of 1-octyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
YSvSp,293.15,0,101,1.37241,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
YSvSp,293.15,0.0547,101,1.38271,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
YSvSp,293.15,0.0964,101,1.38868,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
YSvSp,293.15,0.1996,101,1.3994,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
YSvSp,293.15,0.2941,101,1.40596,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
YSvSp,293.15,0.3939,101,1.41079,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
YSvSp,293.15,0.4944,101,1.41443,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
YSvSp,293.15,0.6046,101,1.41759,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
YSvSp,293.15,0.7033,101,1.41968,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
YSvSp,293.15,0.8019,101,1.42153,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
