setid,Mole fraction of 3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
pIWaO,0.0097,100,298.15,1.34745,Aparicio et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAmaWV,CCn1cc[n+](C)c1.C[C@H](O)C(=O)[O-],3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,,,,
pIWaO,0.0197,100,298.15,1.36112,Aparicio et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAmaWV,CCn1cc[n+](C)c1.C[C@H](O)C(=O)[O-],3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,,,,
pIWaO,0.0304,100,298.15,1.3739,Aparicio et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAmaWV,CCn1cc[n+](C)c1.C[C@H](O)C(=O)[O-],3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,,,,
pIWaO,0.0374,100,298.15,1.38117,Aparicio et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAmaWV,CCn1cc[n+](C)c1.C[C@H](O)C(=O)[O-],3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,,,,
pIWaO,0.0453,100,298.15,1.38881,Aparicio et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAmaWV,CCn1cc[n+](C)c1.C[C@H](O)C(=O)[O-],3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,,,,
pIWaO,0.0739,100,298.15,1.41098,Aparicio et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAmaWV,CCn1cc[n+](C)c1.C[C@H](O)C(=O)[O-],3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,,,,
pIWaO,0.094,100,298.15,1.42257,Aparicio et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAmaWV,CCn1cc[n+](C)c1.C[C@H](O)C(=O)[O-],3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,,,,
pIWaO,0.2881,100,298.15,1.46938,Aparicio et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAmaWV,CCn1cc[n+](C)c1.C[C@H](O)C(=O)[O-],3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,,,,
pIWaO,0.4781,100,298.15,1.48392,Aparicio et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAmaWV,CCn1cc[n+](C)c1.C[C@H](O)C(=O)[O-],3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,,,,
pIWaO,0.6862,100,298.15,1.4876,Aparicio et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAmaWV,CCn1cc[n+](C)c1.C[C@H](O)C(=O)[O-],3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,,,,
pIWaO,0.9018,100,298.15,1.49284,Aparicio et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAmaWV,CCn1cc[n+](C)c1.C[C@H](O)C(=O)[O-],3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,,,,
pIWaO,0.9536,100,298.15,1.49468,Aparicio et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAmaWV,CCn1cc[n+](C)c1.C[C@H](O)C(=O)[O-],3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,,,,
pIWaO,0.9944,100,298.15,1.49635,Aparicio et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAmaWV,CCn1cc[n+](C)c1.C[C@H](O)C(=O)[O-],3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,,,,
