setid,Weight fraction of 1-methyl-3-propylimidazolium bromide,Weight fraction of rubidium carbonate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
GxgEc,0.0167,0.03,298.15,101,1.33806,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.0168,0.0599,298.15,101,1.34132,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.0171,0,298.15,101,1.33475,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.0336,0.06,298.15,101,1.34388,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.0339,0.03,298.15,101,1.3406,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.0342,0,298.15,101,1.33731,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.0509,0.06,298.15,101,1.34653,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.0511,0.03,298.15,101,1.34317,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.0512,0,298.15,101,1.33978,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.0683,0,298.15,101,1.34235,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.0688,0.0301,298.15,101,1.34583,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.0689,0.06,298.15,101,1.34929,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.0854,0.06,298.15,101,1.35198,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.0861,0.03,298.15,101,1.3485,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.0863,0,298.15,101,1.34508,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.1023,0.0601,298.15,101,1.35464,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.1026,0,298.15,101,1.34759,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
GxgEc,0.1028,0.03,298.15,101,1.35109,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
