setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
MtRpk,293.15,0,101,1.37241,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MtRpk,293.15,0.052,101,1.37948,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MtRpk,293.15,0.0979,101,1.38419,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MtRpk,293.15,0.198,101,1.39206,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MtRpk,293.15,0.2939,101,1.39736,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MtRpk,293.15,0.3968,101,1.40129,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MtRpk,293.15,0.4883,101,1.40391,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MtRpk,293.15,0.5936,101,1.40599,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MtRpk,293.15,0.7,101,1.40788,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MtRpk,293.15,0.8146,101,1.40911,Pereiro and Rodriguez (2007a),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
