setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium iodide, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
fsVDi,298.15,0.0133,101,1.3331,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,0.0293,101,1.3336,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,0.0442,101,1.3343,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,0.0505,101,1.3346,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,0.0786,101,1.3356,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,0.0995,101,1.3365,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,0.1307,101,1.3376,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,0.1782,101,1.3395,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,0.216,101,1.341,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,0.3257,101,1.3449,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,0.4065,101,1.3478,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,0.5184,101,1.3519,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,0.6452,101,1.356,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,0.7509,101,1.3595,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,0.8786,101,1.3635,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,1.1538,101,1.3714,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,1.8374,101,1.3893,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,298.15,2.5889,101,1.4054,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,0.0133,101,1.3321,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,0.0293,101,1.3325,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,0.0442,101,1.333,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,0.0505,101,1.3334,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,0.0786,101,1.3344,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,0.0995,101,1.3353,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,0.1307,101,1.3363,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
