setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium thiocyanate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
xIQiQ,288.15,0,81.5,1.41683,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,288.15,0.1011,81.5,1.43479,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,288.15,0.2003,81.5,1.45105,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,288.15,0.2992,81.5,1.46573,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,288.15,0.3988,81.5,1.4796,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,288.15,0.4964,81.5,1.49174,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,288.15,0.6029,81.5,1.50388,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,288.15,0.6993,81.5,1.51325,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,288.15,0.7996,81.5,1.52288,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,288.15,0.8987,81.5,1.53148,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,288.15,1,81.5,1.54089,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,298.15,0,81.5,1.41269,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,298.15,0.1011,81.5,1.43125,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,298.15,0.2003,81.5,1.44798,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,298.15,0.2992,81.5,1.46329,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,298.15,0.3988,81.5,1.47685,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,298.15,0.4964,81.5,1.48943,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,298.15,0.6029,81.5,1.50094,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
xIQiQ,298.15,0.6993,81.5,1.51089,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAThDL,CCCCC(C)O,2-hexanol,,,,
