setid,"Temperature, K",Mole fraction of 3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
cHwFA,288.15,0,101,1.33352,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,,
cHwFA,288.15,0.05002,101,1.3788,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,,
cHwFA,288.15,0.09989,101,1.39889,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,,
cHwFA,288.15,0.15004,101,1.41026,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,,
cHwFA,288.15,0.19938,101,1.41759,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,,
cHwFA,288.15,0.30226,101,1.42638,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,,
cHwFA,288.15,0.39626,101,1.43092,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,,
cHwFA,288.15,0.49335,101,1.43425,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,,
cHwFA,288.15,0.59563,101,1.43696,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,,
cHwFA,288.15,0.69869,101,1.43871,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,,
cHwFA,288.15,0.78909,101,1.44,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,,
cHwFA,288.15,0.84434,101,1.44063,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,,
cHwFA,288.15,0.89149,101,1.4413,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,,
