setid,"Temperature, K","Pressure, kPa",Weight fraction of water,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
IKzML,298.15,101,0.1526,1.45342,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate,,,,
IKzML,303.15,101,0.1526,1.45194,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate,,,,
IKzML,308.15,101,0.1526,1.45041,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate,,,,
IKzML,313.15,101,0.1526,1.44877,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate,,,,
IKzML,318.15,101,0.1526,1.44699,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate,,,,
IKzML,323.15,101,0.1526,1.44498,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate,,,,
IKzML,328.15,101,0.1526,1.4431,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate,,,,
IKzML,333.15,101,0.1526,1.44129,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate,,,,
IKzML,338.15,101,0.1526,1.43948,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate,,,,
IKzML,343.15,101,0.1526,1.43763,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate,,,,
IKzML,348.15,101,0.1526,1.43579,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate,,,,
IKzML,353.15,101,0.1526,1.43397,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate,,,,
