setid,Weight fraction of propan-2-ol,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
xiVYY,0,101,323.15,1.4155,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
xiVYY,0.0089,101,323.15,1.4152,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
xiVYY,0.0287,101,323.15,1.4143,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
xiVYY,0.0624,101,323.15,1.4122,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
xiVYY,0.1053,101,323.15,1.4106,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
xiVYY,0.1649,101,323.15,1.4077,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
xiVYY,0.2183,101,323.15,1.4071,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
xiVYY,0.2719,101,323.15,1.406,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
xiVYY,0.324,101,323.15,1.403,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
xiVYY,0.4108,101,323.15,1.3989,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
xiVYY,0.5167,101,323.15,1.3948,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
xiVYY,0.5965,101,323.15,1.391,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
xiVYY,0.6194,101,323.15,1.3904,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
xiVYY,0.7697,101,323.15,1.3817,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
xiVYY,0.8372,101,323.15,1.3749,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
xiVYY,0.9344,101,323.15,1.3668,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
xiVYY,1,101,323.15,1.3604,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
