setid,Mole fraction of trimethylammonium hydrogen sulfate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
DWhpN,0,101,298.15,1.33,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.0448,101,298.15,1.342,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.0648,101,298.15,1.346,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.0973,101,298.15,1.353,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.1276,101,298.15,1.359,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.1516,101,298.15,1.363,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.2122,101,298.15,1.372,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.2988,101,298.15,1.381,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.3266,101,298.15,1.384,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.3927,101,298.15,1.389,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.4325,101,298.15,1.391,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.4781,101,298.15,1.393,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.5309,101,298.15,1.395,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.6277,101,298.15,1.397,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.6661,101,298.15,1.398,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.7081,101,298.15,1.399,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.7544,101,298.15,1.399,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.8058,101,298.15,1.4,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.8631,101,298.15,1.401,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,0.9273,101,298.15,1.403,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
DWhpN,1,101,298.15,1.406,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,
