setid,"Temperature, K",Mole fraction of 1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
BsWCl,288.15,0,101,1.3438,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,288.15,0.1001,101,1.3549,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,288.15,0.2005,101,1.3667,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,288.15,0.3,101,1.3782,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,288.15,0.399,101,1.3903,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,288.15,0.4996,101,1.4021,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,288.15,0.598,101,1.4138,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,288.15,0.6975,101,1.4245,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,288.15,0.7983,101,1.435,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,288.15,0.8987,101,1.444,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,288.15,1,101,1.452,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,293.15,0,101,1.3425,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,293.15,0.1001,101,1.3538,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,293.15,0.2005,101,1.3656,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,293.15,0.3,101,1.3773,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,293.15,0.399,101,1.3895,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,293.15,0.4996,101,1.4013,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,293.15,0.598,101,1.4129,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,293.15,0.6975,101,1.4237,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,293.15,0.7983,101,1.4341,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,293.15,0.8987,101,1.443,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,293.15,1,101,1.451,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,298.15,0,101,1.3411,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,298.15,0.1001,101,1.3526,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,298.15,0.2005,101,1.3644,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,298.15,0.3,101,1.3764,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,298.15,0.399,101,1.3886,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
BsWCl,298.15,0.4996,101,1.4005,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,,
