setid,"MolaRity of 1-ethyl-3-methylimidazolium bromide, mol/dm3","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
XIEmL,0,101,298.15,1.3324,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
XIEmL,0.5545,101,298.15,1.3482,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
XIEmL,1.0977,101,298.15,1.3649,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
XIEmL,1.6138,101,298.15,1.3816,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
XIEmL,2.2131,101,298.15,1.3989,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
XIEmL,2.9852,101,298.15,1.4211,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
XIEmL,3.7086,101,298.15,1.4438,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
XIEmL,4.7122,101,298.15,1.4763,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
XIEmL,5.287,101,298.15,1.4928,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
XIEmL,6.0005,101,298.15,1.5173,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
XIEmL,6.469,101,298.15,1.5339,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
XIEmL,6.7948,101,298.15,1.5444,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
