setid,"Temperature, K",Weight fraction of 1-ethyl-3-methylimidazolium bromide,Weight fraction of cesium sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
DRwqD,298.2,0,0.644,100,1.40913,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,298.2,0.033,0.604,100,1.41161,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,298.2,0.0739,0.555,100,1.41395,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,298.2,0.1257,0.496,100,1.41746,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,298.2,0.1918,0.423,100,1.42212,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,298.2,0.2774,0.333,100,1.42825,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,298.2,0.3882,0.222,100,1.43624,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,298.2,0.5202,0.106,100,1.44929,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,298.2,0.6419,0.035,100,1.46784,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,298.2,0.7419,0.0083,100,1.49084,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,298.2,0.8295,0.0021,100,1.51608,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,308.2,0,0.656,100,1.40999,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,308.2,0.0325,0.617,100,1.41059,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,308.2,0.0748,0.559,100,1.41283,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,308.2,0.1273,0.5,100,1.4167,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,308.2,0.198,0.417,100,1.42083,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,308.2,0.2861,0.326,100,1.42663,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,308.2,0.3994,0.216,100,1.43524,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,308.2,0.5361,0.098,100,1.44844,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,308.2,0.6563,0.034,100,1.46676,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,308.2,0.7576,0.0085,100,1.48811,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
DRwqD,308.2,0.8466,0.0029,100,1.51179,Li et al. (2019e),Refractive index,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
