setid,"Temperature, K",Weight fraction of 1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
FdBMB,293.2,0,100,589.2,1.3334,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0,100,632.8,1.3323,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0,100,670,1.3312,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0,100,780,1.329,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0,100,935,1.3267,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.0997,100,589.2,1.3441,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.0997,100,632.8,1.3419,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.0997,100,670,1.3408,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.0997,100,780,1.3385,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.0997,100,935,1.3363,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.2,100,589.2,1.3527,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.2,100,632.8,1.351,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.2,100,670,1.3498,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.2,100,780,1.3471,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.2,100,935,1.3448,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.2989,100,589.2,1.362,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.2989,100,632.8,1.3604,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.2989,100,670,1.3594,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.2989,100,780,1.3565,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.2989,100,935,1.3541,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.395,100,589.2,1.3715,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.395,100,632.8,1.3702,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.395,100,670,1.3681,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.395,100,780,1.3661,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.395,100,935,1.3632,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.4996,100,589.2,1.3809,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.4996,100,632.8,1.3791,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.4996,100,670,1.3774,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.4996,100,780,1.3752,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.4996,100,935,1.3728,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.6045,100,589.2,1.3892,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.6045,100,632.8,1.3881,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.6045,100,670,1.3866,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.6045,100,780,1.3843,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.6045,100,935,1.3814,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.6995,100,589.2,1.3986,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.6995,100,632.8,1.397,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.6995,100,670,1.3957,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.6995,100,780,1.3934,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.6995,100,935,1.3907,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.801,100,589.2,1.4081,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.801,100,632.8,1.4063,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.801,100,670,1.4053,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.801,100,780,1.4022,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.801,100,935,1.4001,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.8988,100,589.2,1.4172,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.8988,100,632.8,1.4153,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.8988,100,670,1.4141,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.8988,100,780,1.4119,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,0.8988,100,935,1.4092,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,1,100,589.2,1.4267,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,1,100,632.8,1.4248,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,1,100,670,1.4235,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,1,100,780,1.421,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,293.2,1,100,935,1.4185,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,298.2,0,100,589.2,1.3328,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,298.2,0,100,632.8,1.3316,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,298.2,0,100,670,1.3307,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FdBMB,298.2,0,100,780,1.3285,Rives et al. (2021),Refractive index,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
