setid,"Temperature, K",Mole fraction of butan-1-ol,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
pFAEe,298.15,0,101,1.49681,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,298.15,0.0464,101,1.49508,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,298.15,0.0945,101,1.49327,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,298.15,0.1898,101,1.48922,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,298.15,0.299,101,1.48332,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,298.15,0.4012,101,1.47745,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,298.15,0.4989,101,1.47048,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,298.15,0.5996,101,1.46149,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,298.15,0.6947,101,1.4514,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,298.15,0.7995,101,1.43728,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,298.15,0.8965,101,1.42111,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,298.15,0.9464,101,1.41049,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,298.15,1,101,1.39734,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,313.15,0,101,1.49248,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,313.15,0.0464,101,1.49066,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,313.15,0.0945,101,1.48888,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
