setid,Mole fraction of 1-methylethyl ethanoate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
xatiC,0.0415,298.15,101,1.43222,Andreatta et al. (2010a),Refractive index,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xatiC,0.0984,298.15,101,1.4313,Andreatta et al. (2010a),Refractive index,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xatiC,0.1644,298.15,101,1.43009,Andreatta et al. (2010a),Refractive index,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xatiC,0.2055,298.15,101,1.42923,Andreatta et al. (2010a),Refractive index,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xatiC,0.301,298.15,101,1.42702,Andreatta et al. (2010a),Refractive index,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xatiC,0.3956,298.15,101,1.42458,Andreatta et al. (2010a),Refractive index,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xatiC,0.4996,298.15,101,1.42091,Andreatta et al. (2010a),Refractive index,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xatiC,0.5837,298.15,101,1.41742,Andreatta et al. (2010a),Refractive index,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xatiC,0.7048,298.15,101,1.41083,Andreatta et al. (2010a),Refractive index,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xatiC,0.8036,298.15,101,1.40324,Andreatta et al. (2010a),Refractive index,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xatiC,0.8991,298.15,101,1.39275,Andreatta et al. (2010a),Refractive index,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
