setid,Mole fraction of pyrrolidinium nitrate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
NLumE,0,101.3,298.15,1.3328,Anouti et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,,
NLumE,0.025,101.3,298.15,1.3354,Anouti et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,,
NLumE,0.054,101.3,298.15,1.3383,Anouti et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,,
NLumE,0.091,101.3,298.15,1.3424,Anouti et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,,
NLumE,0.123,101.3,298.15,1.3464,Anouti et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,,
NLumE,0.171,101.3,298.15,1.3517,Anouti et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,,
NLumE,0.246,101.3,298.15,1.3589,Anouti et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,,
NLumE,0.349,101.3,298.15,1.3684,Anouti et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,,
NLumE,0.55,101.3,298.15,1.3811,Anouti et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,,
NLumE,0.722,101.3,298.15,1.3897,Anouti et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,,
NLumE,0.845,101.3,298.15,1.3934,Anouti et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,,
NLumE,1,101.3,298.15,1.3955,Anouti et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,,
