setid,Mole fraction of 2-ethoxy-2-methylpropane,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
EwQFR,0.0473,101,298.15,1.4804,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
EwQFR,0.1037,101,298.15,1.4788,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
EwQFR,0.1961,101,298.15,1.4762,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
EwQFR,0.3076,101,298.15,1.4727,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
EwQFR,0.3968,101,298.15,1.4688,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
EwQFR,0.5075,101,298.15,1.4624,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
EwQFR,0.5981,101,298.15,1.4562,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
EwQFR,0.6992,101,298.15,1.4463,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
EwQFR,0.7993,101,298.15,1.432,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
EwQFR,0.8987,101,298.15,1.4104,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
EwQFR,0.9496,101,298.15,1.3943,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
